epoch,label,phase,pid,comm,cpu,mem,rss_kb
1783238088.365203000,copy_quarantined_rep1,after,97096,codex,0.1,1.8,307712
1783238088.365203000,copy_quarantined_rep1,after,97226,codex,0.0,0.3,48816
1783238088.385062000,project_clean_rep1,before,512,syspolicyd,23.5,0.2,41888
1783238088.385062000,project_clean_rep1,before,909,codex,0.0,0.0,1616
1783238088.385062000,project_clean_rep1,before,4630,codex,0.0,0.0,640
1783238088.385062000,project_clean_rep1,before,20460,trustd,0.0,0.0,5184
1783238088.385062000,project_clean_rep1,before,20461,trustd,0.0,0.1,8704
1783238088.385062000,project_clean_rep1,before,20462,trustd,0.0,0.0,3344
1783238088.385062000,project_clean_rep1,before,22673,codex,0.0,0.0,2192
1783238088.385062000,project_clean_rep1,before,36402,codex,0.0,0.0,672
1783238088.385062000,project_clean_rep1,before,46907,codex,0.0,0.0,4480
1783238088.385062000,project_clean_rep1,before,67200,codex,0.0,0.0,7744
1783238088.385062000,project_clean_rep1,before,68417,syspolicyd,1.1,0.0,2560
1783238088.385062000,project_clean_rep1,before,88895,trustd,0.0,0.1,17312
1783238088.385062000,project_clean_rep1,before,89129,trustd,2.4,0.1,14928
1783238088.385062000,project_clean_rep1,before,97096,codex,0.1,1.8,307712
1783238088.385062000,project_clean_rep1,before,97226,codex,0.0,0.3,48816
1783238120.491066000,project_clean_rep1,after,512,syspolicyd,82.4,0.7,115104
1783238120.491066000,project_clean_rep1,after,909,codex,0.0,0.0,1616
1783238120.491066000,project_clean_rep1,after,4630,codex,0.0,0.0,640
1783238120.491066000,project_clean_rep1,after,20460,trustd,0.0,0.0,5184
1783238120.491066000,project_clean_rep1,after,20461,trustd,0.0,0.1,8704
1783238120.491066000,project_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783238120.491066000,project_clean_rep1,after,22673,codex,0.0,0.0,2192
1783238120.491066000,project_clean_rep1,after,36402,codex,0.0,0.0,672
1783238120.491066000,project_clean_rep1,after,46907,codex,0.0,0.0,4480
1783238120.491066000,project_clean_rep1,after,67200,codex,0.0,0.0,7744
1783238120.491066000,project_clean_rep1,after,68417,syspolicyd,0.2,0.0,2560
1783238120.491066000,project_clean_rep1,after,88895,trustd,0.0,0.1,17312
1783238120.491066000,project_clean_rep1,after,89129,trustd,0.0,0.1,14992
1783238120.491066000,project_clean_rep1,after,97096,codex,0.1,1.8,307712
1783238120.491066000,project_clean_rep1,after,97226,codex,0.0,0.3,48768
1783238120.515749000,project_quarantined_rep1,before,512,syspolicyd,82.4,0.7,118288
1783238120.515749000,project_quarantined_rep1,before,909,codex,0.0,0.0,1616
1783238120.515749000,project_quarantined_rep1,before,4630,codex,0.0,0.0,640
1783238120.515749000,project_quarantined_rep1,before,20460,trustd,0.0,0.0,5184
1783238120.515749000,project_quarantined_rep1,before,20461,trustd,0.0,0.1,8704
1783238120.515749000,project_quarantined_rep1,before,20462,trustd,0.0,0.0,3344
1783238120.515749000,project_quarantined_rep1,before,22673,codex,0.0,0.0,2192
1783238120.515749000,project_quarantined_rep1,before,36402,codex,0.0,0.0,672
1783238120.515749000,project_quarantined_rep1,before,46907,codex,0.0,0.0,4480
1783238120.515749000,project_quarantined_rep1,before,67200,codex,0.0,0.0,7744
1783238120.515749000,project_quarantined_rep1,before,68417,syspolicyd,0.2,0.0,2560
1783238120.515749000,project_quarantined_rep1,before,88895,trustd,0.0,0.1,17312
1783238120.515749000,project_quarantined_rep1,before,89129,trustd,0.0,0.1,14992
1783238120.515749000,project_quarantined_rep1,before,97096,codex,0.1,1.8,307712
1783238120.515749000,project_quarantined_rep1,before,97226,codex,0.0,0.3,48768
1783238152.611097000,project_quarantined_rep1,after,512,syspolicyd,184.4,1.0,165952
1783238152.611097000,project_quarantined_rep1,after,909,codex,0.0,0.0,1616
1783238152.611097000,project_quarantined_rep1,after,4630,codex,0.0,0.0,640
1783238152.611097000,project_quarantined_rep1,after,20460,trustd,0.0,0.0,5776
1783238152.611097000,project_quarantined_rep1,after,20461,trustd,0.0,0.1,9136
1783238152.611097000,project_quarantined_rep1,after,20462,trustd,0.0,0.0,3344
1783238152.611097000,project_quarantined_rep1,after,22673,codex,0.0,0.0,2192
1783238152.611097000,project_quarantined_rep1,after,36402,codex,0.0,0.0,672
1783238152.611097000,project_quarantined_rep1,after,46907,codex,0.0,0.0,4480
1783238152.611097000,project_quarantined_rep1,after,67200,codex,0.0,0.0,7744
1783238152.611097000,project_quarantined_rep1,after,68417,syspolicyd,0.0,0.0,2560
1783238152.611097000,project_quarantined_rep1,after,88895,trustd,0.0,0.1,16976
1783238152.611097000,project_quarantined_rep1,after,89129,trustd,0.3,0.1,14944
1783238152.611097000,project_quarantined_rep1,after,97096,codex,0.4,1.8,307760
1783238152.611097000,project_quarantined_rep1,after,97226,codex,0.0,0.3,48720
1783238152.633812000,real_clean_rep2,before,512,syspolicyd,184.4,1.0,170224
1783238152.633812000,real_clean_rep2,before,909,codex,0.0,0.0,1616
1783238152.633812000,real_clean_rep2,before,4630,codex,0.0,0.0,640
1783238152.633812000,real_clean_rep2,before,20460,trustd,0.0,0.0,5776
1783238152.633812000,real_clean_rep2,before,20461,trustd,0.0,0.1,9136
1783238152.633812000,real_clean_rep2,before,20462,trustd,0.0,0.0,3344
1783238152.633812000,real_clean_rep2,before,22673,codex,0.0,0.0,2192
1783238152.633812000,real_clean_rep2,before,36402,codex,0.0,0.0,672
1783238152.633812000,real_clean_rep2,before,46907,codex,0.0,0.0,4480
1783238152.633812000,real_clean_rep2,before,67200,codex,0.0,0.0,7744
1783238152.633812000,real_clean_rep2,before,68417,syspolicyd,0.0,0.0,2560
1783238152.633812000,real_clean_rep2,before,88895,trustd,0.0,0.1,16976
1783238152.633812000,real_clean_rep2,before,89129,trustd,0.3,0.1,14944
1783238152.633812000,real_clean_rep2,before,97096,codex,0.4,1.8,307760
1783238152.633812000,real_clean_rep2,before,97226,codex,0.0,0.3,48720
1783238152.917987000,real_clean_rep2,after,512,syspolicyd,154.4,1.3,224288
1783238152.917987000,real_clean_rep2,after,909,codex,0.0,0.0,1616
1783238152.917987000,real_clean_rep2,after,4630,codex,0.0,0.0,640
1783238152.917987000,real_clean_rep2,after,20460,trustd,0.0,0.0,5776
1783238152.917987000,real_clean_rep2,after,20461,trustd,0.0,0.1,9136
1783238152.917987000,real_clean_rep2,after,20462,trustd,0.0,0.0,3344
1783238152.917987000,real_clean_rep2,after,22673,codex,0.0,0.0,2192
1783238152.917987000,real_clean_rep2,after,36402,codex,0.0,0.0,672
1783238152.917987000,real_clean_rep2,after,46907,codex,0.0,0.0,4480
1783238152.917987000,real_clean_rep2,after,67200,codex,0.0,0.0,7744
1783238152.917987000,real_clean_rep2,after,68417,syspolicyd,1.5,0.0,2576
1783238152.917987000,real_clean_rep2,after,88895,trustd,0.0,0.1,16976
1783238152.917987000,real_clean_rep2,after,89129,trustd,0.1,0.1,14944
1783238152.917987000,real_clean_rep2,after,97096,codex,0.1,1.8,307760
1783238152.917987000,real_clean_rep2,after,97226,codex,0.0,0.3,48720
1783238152.941883000,copy_clean_rep2,before,512,syspolicyd,154.4,1.4,229104
1783238152.941883000,copy_clean_rep2,before,909,codex,0.0,0.0,1616
1783238152.941883000,copy_clean_rep2,before,4630,codex,0.0,0.0,640
1783238152.941883000,copy_clean_rep2,before,20460,trustd,0.0,0.0,5776
1783238152.941883000,copy_clean_rep2,before,20461,trustd,0.0,0.1,9136
1783238152.941883000,copy_clean_rep2,before,20462,trustd,0.0,0.0,3344
1783238152.941883000,copy_clean_rep2,before,22673,codex,0.0,0.0,2192
1783238152.941883000,copy_clean_rep2,before,36402,codex,0.0,0.0,672
1783238152.941883000,copy_clean_rep2,before,46907,codex,0.0,0.0,4480
1783238152.941883000,copy_clean_rep2,before,67200,codex,0.0,0.0,7744
1783238152.941883000,copy_clean_rep2,before,68417,syspolicyd,1.5,0.0,2576
1783238152.941883000,copy_clean_rep2,before,88895,trustd,0.0,0.1,16976
1783238152.941883000,copy_clean_rep2,before,89129,trustd,0.1,0.1,14944
1783238152.941883000,copy_clean_rep2,before,97096,codex,0.1,1.8,307760
1783238152.941883000,copy_clean_rep2,before,97226,codex,0.0,0.3,48720
1783238153.228756000,copy_clean_rep2,after,512,syspolicyd,179.4,1.7,284352
1783238153.228756000,copy_clean_rep2,after,909,codex,0.0,0.0,1616
1783238153.228756000,copy_clean_rep2,after,4630,codex,0.0,0.0,640
1783238153.228756000,copy_clean_rep2,after,20460,trustd,0.0,0.0,5776
1783238153.228756000,copy_clean_rep2,after,20461,trustd,0.0,0.1,9136
1783238153.228756000,copy_clean_rep2,after,20462,trustd,0.0,0.0,3344
1783238153.228756000,copy_clean_rep2,after,22673,codex,0.0,0.0,2192
1783238153.228756000,copy_clean_rep2,after,36402,codex,0.0,0.0,672
1783238153.228756000,copy_clean_rep2,after,46907,codex,0.0,0.0,4480
1783238153.228756000,copy_clean_rep2,after,67200,codex,0.0,0.0,7744
1783238153.228756000,copy_clean_rep2,after,68417,syspolicyd,2.6,0.0,2576
1783238153.228756000,copy_clean_rep2,after,88895,trustd,0.0,0.1,16976
1783238153.228756000,copy_clean_rep2,after,89129,trustd,0.0,0.1,14944
1783238153.228756000,copy_clean_rep2,after,97096,codex,0.4,1.8,307760
1783238153.228756000,copy_clean_rep2,after,97226,codex,0.0,0.3,48720
1783238153.250995000,copy_quarantined_rep2,before,512,syspolicyd,179.4,1.7,284352
1783238153.250995000,copy_quarantined_rep2,before,909,codex,0.0,0.0,1616
1783238153.250995000,copy_quarantined_rep2,before,4630,codex,0.0,0.0,640
1783238153.250995000,copy_quarantined_rep2,before,20460,trustd,0.0,0.0,5776
1783238153.250995000,copy_quarantined_rep2,before,20461,trustd,0.0,0.1,9136
1783238153.250995000,copy_quarantined_rep2,before,20462,trustd,0.0,0.0,3344
1783238153.250995000,copy_quarantined_rep2,before,22673,codex,0.0,0.0,2192
1783238153.250995000,copy_quarantined_rep2,before,36402,codex,0.0,0.0,672
1783238153.250995000,copy_quarantined_rep2,before,46907,codex,0.0,0.0,4480
1783238153.250995000,copy_quarantined_rep2,before,67200,codex,0.0,0.0,7744
1783238153.250995000,copy_quarantined_rep2,before,68417,syspolicyd,2.6,0.0,2576
1783238153.250995000,copy_quarantined_rep2,before,88895,trustd,0.0,0.1,16976
1783238153.250995000,copy_quarantined_rep2,before,89129,trustd,0.0,0.1,14944
1783238153.250995000,copy_quarantined_rep2,before,97096,codex,0.4,1.8,307760
1783238153.250995000,copy_quarantined_rep2,before,97226,codex,0.0,0.3,48720
1783238153.506673000,copy_quarantined_rep2,after,512,syspolicyd,108.4,0.3,46960
1783238153.506673000,copy_quarantined_rep2,after,909,codex,0.0,0.0,1616
1783238153.506673000,copy_quarantined_rep2,after,4630,codex,0.0,0.0,640
1783238153.506673000,copy_quarantined_rep2,after,20460,trustd,0.0,0.0,5776
1783238153.506673000,copy_quarantined_rep2,after,20461,trustd,0.0,0.1,9136
1783238153.506673000,copy_quarantined_rep2,after,20462,trustd,0.0,0.0,3344
1783238153.506673000,copy_quarantined_rep2,after,22673,codex,0.0,0.0,2192
1783238153.506673000,copy_quarantined_rep2,after,36402,codex,0.0,0.0,672
1783238153.506673000,copy_quarantined_rep2,after,46907,codex,0.0,0.0,4480
1783238153.506673000,copy_quarantined_rep2,after,67200,codex,0.0,0.0,7744
1783238153.506673000,copy_quarantined_rep2,after,68417,syspolicyd,2.7,0.0,2576
1783238153.506673000,copy_quarantined_rep2,after,88895,trustd,0.0,0.1,16976
1783238153.506673000,copy_quarantined_rep2,after,89129,trustd,0.1,0.1,14944
1783238153.506673000,copy_quarantined_rep2,after,97096,codex,0.1,1.8,307760
1783238153.506673000,copy_quarantined_rep2,after,97226,codex,0.0,0.3,48720
1783238153.528513000,project_clean_rep2,before,512,syspolicyd,108.4,0.3,46960
1783238153.528513000,project_clean_rep2,before,909,codex,0.0,0.0,1616
1783238153.528513000,project_clean_rep2,before,4630,codex,0.0,0.0,640
1783238153.528513000,project_clean_rep2,before,20460,trustd,0.0,0.0,5776
1783238153.528513000,project_clean_rep2,before,20461,trustd,0.0,0.1,9136
1783238153.528513000,project_clean_rep2,before,20462,trustd,0.0,0.0,3344
1783238153.528513000,project_clean_rep2,before,22673,codex,0.0,0.0,2192
1783238153.528513000,project_clean_rep2,before,36402,codex,0.0,0.0,672
1783238153.528513000,project_clean_rep2,before,46907,codex,0.0,0.0,4480
1783238153.528513000,project_clean_rep2,before,67200,codex,0.0,0.0,7744
1783238153.528513000,project_clean_rep2,before,68417,syspolicyd,2.7,0.0,2592
1783238153.528513000,project_clean_rep2,before,88895,trustd,0.0,0.1,16976
1783238153.528513000,project_clean_rep2,before,89129,trustd,0.1,0.1,14944
1783238153.528513000,project_clean_rep2,before,97096,codex,0.1,1.8,307760
1783238153.528513000,project_clean_rep2,before,97226,codex,0.0,0.3,48720
1783238154.024264000,project_clean_rep2,after,512,syspolicyd,37.2,0.3,46976
1783238154.024264000,project_clean_rep2,after,909,codex,0.0,0.0,1616
1783238154.024264000,project_clean_rep2,after,4630,codex,0.0,0.0,640
1783238154.024264000,project_clean_rep2,after,20460,trustd,0.0,0.0,5776
1783238154.024264000,project_clean_rep2,after,20461,trustd,0.0,0.1,9136
1783238154.024264000,project_clean_rep2,after,20462,trustd,0.0,0.0,3344
1783238154.024264000,project_clean_rep2,after,22673,codex,0.0,0.0,2192
1783238154.024264000,project_clean_rep2,after,36402,codex,0.0,0.0,672
1783238154.024264000,project_clean_rep2,after,46907,codex,0.0,0.0,4480
1783238154.024264000,project_clean_rep2,after,67200,codex,0.0,0.0,7744
1783238154.024264000,project_clean_rep2,after,68417,syspolicyd,1.5,0.0,2592
1783238154.024264000,project_clean_rep2,after,88895,trustd,0.0,0.1,16976
1783238154.024264000,project_clean_rep2,after,89129,trustd,0.8,0.1,14944
1783238154.024264000,project_clean_rep2,after,97096,codex,0.0,1.8,307760
1783238154.024264000,project_clean_rep2,after,97226,codex,0.0,0.3,48720
1783238154.046650000,project_quarantined_rep2,before,512,syspolicyd,37.2,0.3,46976
1783238154.046650000,project_quarantined_rep2,before,909,codex,0.0,0.0,1616
1783238154.046650000,project_quarantined_rep2,before,4630,codex,0.0,0.0,640
1783238154.046650000,project_quarantined_rep2,before,20460,trustd,0.0,0.0,5776
1783238154.046650000,project_quarantined_rep2,before,20461,trustd,0.0,0.1,9136
1783238154.046650000,project_quarantined_rep2,before,20462,trustd,0.0,0.0,3344
1783238154.046650000,project_quarantined_rep2,before,22673,codex,0.0,0.0,2192
1783238154.046650000,project_quarantined_rep2,before,36402,codex,0.0,0.0,672
1783238154.046650000,project_quarantined_rep2,before,46907,codex,0.0,0.0,4480
1783238154.046650000,project_quarantined_rep2,before,67200,codex,0.0,0.0,7744
1783238154.046650000,project_quarantined_rep2,before,68417,syspolicyd,1.5,0.0,2592
1783238154.046650000,project_quarantined_rep2,before,88895,trustd,0.0,0.1,16976
1783238154.046650000,project_quarantined_rep2,before,89129,trustd,0.8,0.1,14944
1783238154.046650000,project_quarantined_rep2,before,97096,codex,0.0,1.8,307760
1783238154.046650000,project_quarantined_rep2,before,97226,codex,0.0,0.3,48720
1783238157.059889000,project_quarantined_rep2,after,512,syspolicyd,90.0,0.2,39360
1783238157.059889000,project_quarantined_rep2,after,909,codex,0.0,0.0,1616
1783238157.059889000,project_quarantined_rep2,after,4630,codex,0.0,0.0,640
1783238157.059889000,project_quarantined_rep2,after,20460,trustd,0.0,0.0,5776
1783238157.059889000,project_quarantined_rep2,after,20461,trustd,0.0,0.1,9120
1783238157.059889000,project_quarantined_rep2,after,20462,trustd,0.0,0.0,3344
1783238157.059889000,project_quarantined_rep2,after,22673,codex,0.0,0.0,2192
1783238157.059889000,project_quarantined_rep2,after,36402,codex,0.0,0.0,672
1783238157.059889000,project_quarantined_rep2,after,46907,codex,0.0,0.0,4480
1783238157.059889000,project_quarantined_rep2,after,67200,codex,0.0,0.0,7744
1783238157.059889000,project_quarantined_rep2,after,68417,syspolicyd,0.0,0.0,2608
1783238157.059889000,project_quarantined_rep2,after,88895,trustd,0.0,0.1,16736
1783238157.059889000,project_quarantined_rep2,after,89129,trustd,0.1,0.1,14544
1783238157.059889000,project_quarantined_rep2,after,97096,codex,3.1,1.8,299968
1783238157.059889000,project_quarantined_rep2,after,97226,codex,0.0,0.3,48688
1783238157.082660000,real_clean_rep3,before,512,syspolicyd,90.0,0.2,39360
1783238157.082660000,real_clean_rep3,before,909,codex,0.0,0.0,1616
1783238157.082660000,real_clean_rep3,before,4630,codex,0.0,0.0,640
1783238157.082660000,real_clean_rep3,before,20460,trustd,0.0,0.0,5776
1783238157.082660000,real_clean_rep3,before,20461,trustd,0.0,0.1,9120
1783238157.082660000,real_clean_rep3,before,20462,trustd,0.0,0.0,3344
1783238157.082660000,real_clean_rep3,before,22673,codex,0.0,0.0,2192
1783238157.082660000,real_clean_rep3,before,36402,codex,0.0,0.0,672
1783238157.082660000,real_clean_rep3,before,46907,codex,0.0,0.0,4480
1783238157.082660000,real_clean_rep3,before,67200,codex,0.0,0.0,7744
1783238157.082660000,real_clean_rep3,before,68417,syspolicyd,0.0,0.0,2608
1783238157.082660000,real_clean_rep3,before,88895,trustd,0.0,0.1,16736
1783238157.082660000,real_clean_rep3,before,89129,trustd,0.1,0.1,14544
1783238157.082660000,real_clean_rep3,before,97096,codex,3.1,1.8,299968
1783238157.082660000,real_clean_rep3,before,97226,codex,0.0,0.3,48688
1783238157.252172000,real_clean_rep3,after,512,syspolicyd,35.7,0.2,39360
1783238157.252172000,real_clean_rep3,after,909,codex,0.0,0.0,1616
1783238157.252172000,real_clean_rep3,after,4630,codex,0.0,0.0,640
1783238157.252172000,real_clean_rep3,after,20460,trustd,0.0,0.0,5776
1783238157.252172000,real_clean_rep3,after,20461,trustd,0.0,0.1,9120
1783238157.252172000,real_clean_rep3,after,20462,trustd,0.0,0.0,3344
1783238157.252172000,real_clean_rep3,after,22673,codex,0.0,0.0,2192
1783238157.252172000,real_clean_rep3,after,36402,codex,0.0,0.0,672
1783238157.252172000,real_clean_rep3,after,46907,codex,0.0,0.0,4480
1783238157.252172000,real_clean_rep3,after,67200,codex,0.0,0.0,7744
1783238157.252172000,real_clean_rep3,after,68417,syspolicyd,1.9,0.0,2608
1783238157.252172000,real_clean_rep3,after,88895,trustd,0.0,0.1,15024
1783238157.252172000,real_clean_rep3,after,89129,trustd,0.0,0.1,14512
1783238157.252172000,real_clean_rep3,after,97096,codex,1.2,1.8,299840
1783238157.252172000,real_clean_rep3,after,97226,codex,0.0,0.3,48688
1783238157.273386000,copy_clean_rep3,before,512,syspolicyd,35.7,0.2,39360
1783238157.273386000,copy_clean_rep3,before,909,codex,0.0,0.0,1616
1783238157.273386000,copy_clean_rep3,before,4630,codex,0.0,0.0,640
1783238157.273386000,copy_clean_rep3,before,20460,trustd,0.0,0.0,5776
1783238157.273386000,copy_clean_rep3,before,20461,trustd,0.0,0.1,9120
1783238157.273386000,copy_clean_rep3,before,20462,trustd,0.0,0.0,3344
1783238157.273386000,copy_clean_rep3,before,22673,codex,0.0,0.0,2192
1783238157.273386000,copy_clean_rep3,before,36402,codex,0.0,0.0,672
1783238157.273386000,copy_clean_rep3,before,46907,codex,0.0,0.0,4480
1783238157.273386000,copy_clean_rep3,before,67200,codex,0.0,0.0,7744
1783238157.273386000,copy_clean_rep3,before,68417,syspolicyd,1.9,0.0,2608
1783238157.273386000,copy_clean_rep3,before,88895,trustd,0.0,0.1,15024
1783238157.273386000,copy_clean_rep3,before,89129,trustd,0.0,0.1,14512
