epoch,label,phase,pid,comm,cpu,mem,rss_kb
1783238290.792208000,project_clean_rep1,before,46907,codex,0.0,0.0,4480
1783238290.792208000,project_clean_rep1,before,67200,codex,0.0,0.0,7744
1783238290.792208000,project_clean_rep1,before,72530,syspolicyd,22.4,0.5,76128
1783238290.792208000,project_clean_rep1,before,72645,syspolicyd,1.3,0.0,2576
1783238290.792208000,project_clean_rep1,before,88895,trustd,0.0,0.1,16160
1783238290.792208000,project_clean_rep1,before,89129,trustd,1.8,0.1,14896
1783238290.792208000,project_clean_rep1,before,97096,codex,0.1,1.7,279552
1783238290.792208000,project_clean_rep1,before,97226,codex,0.0,0.3,47808
1783238322.903739000,project_clean_rep1,after,909,codex,0.0,0.0,1616
1783238322.903739000,project_clean_rep1,after,4630,codex,0.0,0.0,640
1783238322.903739000,project_clean_rep1,after,20460,trustd,0.0,0.0,5776
1783238322.903739000,project_clean_rep1,after,20461,trustd,0.0,0.1,9136
1783238322.903739000,project_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783238322.903739000,project_clean_rep1,after,22673,codex,0.0,0.0,2192
1783238322.903739000,project_clean_rep1,after,36402,codex,0.0,0.0,672
1783238322.903739000,project_clean_rep1,after,46907,codex,0.0,0.0,4480
1783238322.903739000,project_clean_rep1,after,67200,codex,0.0,0.0,7744
1783238322.903739000,project_clean_rep1,after,72530,syspolicyd,141.2,2.1,349200
1783238322.903739000,project_clean_rep1,after,72645,syspolicyd,0.7,0.0,2576
1783238322.903739000,project_clean_rep1,after,88895,trustd,0.1,0.1,16352
1783238322.903739000,project_clean_rep1,after,89129,trustd,0.1,0.1,14912
1783238322.903739000,project_clean_rep1,after,97096,codex,0.1,1.7,279520
1783238322.903739000,project_clean_rep1,after,97226,codex,0.0,0.3,47824
1783238322.930025000,project_quarantined_rep1,before,909,codex,0.0,0.0,1616
1783238322.930025000,project_quarantined_rep1,before,4630,codex,0.0,0.0,640
1783238322.930025000,project_quarantined_rep1,before,20460,trustd,0.0,0.0,5776
1783238322.930025000,project_quarantined_rep1,before,20461,trustd,0.0,0.1,9136
1783238322.930025000,project_quarantined_rep1,before,20462,trustd,0.0,0.0,3344
1783238322.930025000,project_quarantined_rep1,before,22673,codex,0.0,0.0,2192
1783238322.930025000,project_quarantined_rep1,before,36402,codex,0.0,0.0,672
1783238322.930025000,project_quarantined_rep1,before,46907,codex,0.0,0.0,4480
1783238322.930025000,project_quarantined_rep1,before,67200,codex,0.0,0.0,7744
1783238322.930025000,project_quarantined_rep1,before,72530,syspolicyd,141.2,2.1,353024
1783238322.930025000,project_quarantined_rep1,before,72645,syspolicyd,0.7,0.0,2576
1783238322.930025000,project_quarantined_rep1,before,88895,trustd,0.1,0.1,16352
1783238322.930025000,project_quarantined_rep1,before,89129,trustd,0.1,0.1,14912
1783238322.930025000,project_quarantined_rep1,before,97096,codex,0.1,1.7,279520
1783238322.930025000,project_quarantined_rep1,before,97226,codex,0.0,0.3,47824
1783238355.043548000,project_quarantined_rep1,after,909,codex,0.0,0.0,1616
1783238355.043548000,project_quarantined_rep1,after,4630,codex,0.0,0.0,640
1783238355.043548000,project_quarantined_rep1,after,20460,trustd,0.0,0.0,5776
1783238355.043548000,project_quarantined_rep1,after,20461,trustd,0.0,0.1,9120
1783238355.043548000,project_quarantined_rep1,after,20462,trustd,0.0,0.0,3344
1783238355.043548000,project_quarantined_rep1,after,22673,codex,0.0,0.0,2192
1783238355.043548000,project_quarantined_rep1,after,36402,codex,0.0,0.0,672
1783238355.043548000,project_quarantined_rep1,after,46907,codex,0.0,0.0,4480
1783238355.043548000,project_quarantined_rep1,after,67200,codex,0.0,0.0,7744
1783238355.043548000,project_quarantined_rep1,after,72530,syspolicyd,119.7,1.0,168624
1783238355.043548000,project_quarantined_rep1,after,72645,syspolicyd,0.3,0.0,2576
1783238355.043548000,project_quarantined_rep1,after,88895,trustd,0.0,0.1,15344
1783238355.043548000,project_quarantined_rep1,after,89129,trustd,0.0,0.1,14400
1783238355.043548000,project_quarantined_rep1,after,97096,codex,2.6,1.7,277296
1783238355.043548000,project_quarantined_rep1,after,97226,codex,0.0,0.3,47776
1783238355.069046000,real_clean_rep2,before,909,codex,0.0,0.0,1616
1783238355.069046000,real_clean_rep2,before,4630,codex,0.0,0.0,640
1783238355.069046000,real_clean_rep2,before,20460,trustd,0.0,0.0,5776
1783238355.069046000,real_clean_rep2,before,20461,trustd,0.0,0.1,9120
1783238355.069046000,real_clean_rep2,before,20462,trustd,0.0,0.0,3344
1783238355.069046000,real_clean_rep2,before,22673,codex,0.0,0.0,2192
1783238355.069046000,real_clean_rep2,before,36402,codex,0.0,0.0,672
1783238355.069046000,real_clean_rep2,before,46907,codex,0.0,0.0,4480
1783238355.069046000,real_clean_rep2,before,67200,codex,0.0,0.0,7744
1783238355.069046000,real_clean_rep2,before,72530,syspolicyd,119.7,1.0,172896
1783238355.069046000,real_clean_rep2,before,72645,syspolicyd,0.3,0.0,2576
1783238355.069046000,real_clean_rep2,before,88895,trustd,0.0,0.1,15344
1783238355.069046000,real_clean_rep2,before,89129,trustd,0.0,0.1,14400
1783238355.069046000,real_clean_rep2,before,97096,codex,2.6,1.7,277296
1783238355.069046000,real_clean_rep2,before,97226,codex,0.0,0.3,47776
1783238355.350860000,real_clean_rep2,after,909,codex,0.0,0.0,1616
1783238355.350860000,real_clean_rep2,after,4630,codex,0.0,0.0,640
1783238355.350860000,real_clean_rep2,after,20460,trustd,0.0,0.0,5776
1783238355.350860000,real_clean_rep2,after,20461,trustd,0.0,0.1,9120
1783238355.350860000,real_clean_rep2,after,20462,trustd,0.0,0.0,3344
